index,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,BBC Name
0,False,/n4GJFGzsc7NinI1VeGDXIcQjtU2.jpg,"[18, 10749]",843,cn,花樣年華,"In Hong Kong of 1962, Mrs. Chan and Mr. Chow, a journalist, move into neighbouring apartments on the same day. Their encounters are formal and polite—until a discovery about their respective spouses creates an intimate bond between them.",39.173,/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,2000-09-29,In the Mood for Love,False,8.11,2488,In the Mood for Love
1,False,/8w7Bzp8Czm8FpHZcVTKhxTyeRhk.jpg,[99],654086,zh,@In the Mood for Love,A documentary following Wong Kar-wai and his cast and crew through the production of his 2000 film IN THE MOOD FOR LOVE.,2.495,/c6Xh8CqkKbaVRsmYfJGGiZXSjtn.jpg,2001-12-31,@In the Mood for Love,False,6.638,29,In the Mood for Love
2,False,,[],646676,en,In the Mood for Love,"A story of people who have lived and loved, the Film explores queer love and relationships, togetherness, love, sexuality and illegality in India. It documents stories of individuals who turn an inward gaze and reflect on themselves, the community and the movement. Foregrounding their lives and work, it explores their negotiations with everyday realities.",0.6,/na3Pp2QE4DzegOw7OjMQemwQ8wU.jpg,2015-02-26,In the Mood for Love,False,0.0,0,In the Mood for Love
3,False,,[16],1209783,fr,"Short Cuts: ""In the Mood for Love"" de Wong Kar-wai","The film ""In the Mood for Love"" by Wong Kar-wai animated in 1 minute by Anna Budanova.",0.6,,,"Short Cuts: Wong Kar-wai's ""In the Mood for Love""",False,0.0,0,In the Mood for Love
4,False,/5RxBjaLTcDLfgo3I6i3kbFMGKsj.jpg,"[10749, 18]",386528,zh,风花雪月,"Two stories are included in this erotic/romantic anthology. In the first, a Sung-Dynasty (10th-13th century) Buddhist monk is tricked into sexual relations with an unscrupulous female adventurer. He dies soon after with his misdeed on his conscience. In the second, the daughter of a woman who died in a brothel discovers that her mother died an unnatural death and seeks revenge.",4.673,/baJBCs1ePXeh69VVyxsQdjEbgPU.jpg,1977-01-01,Moods of Love,False,5.0,3,In the Mood for Love
5,False,/iH78OjPxBisMMaAmpW6Ihv3jEGn.jpg,"[99, 35]",1246457,en,In the Mood for Love - UNLV Edition,Join a team of UNLV film students as they ask fellow students about their perceptions of love. They dive into all of this right before Valentine's Day as a holiday special.,1.663,/ulDJB8Z7WSSibISA3KHHTcNnfAk.jpg,2024-02-13,In the Mood for Love - UNLV Edition,False,10.0,1,In the Mood for Love
6,False,,[],1005120,en,I'm in the Mood for Love,A singing telegram worker meets his ex-boyfriend while having hot pot and learns to embrace his new found bachelorhood through popular song.,1.213,/qwR65X3agNUnSu2ahlCHb0yAYrY.jpg,2010-10-15,I'm in the Mood for Love,False,0.0,0,In the Mood for Love
7,False,,[],1152717,en,"Wong Kar-wai on ""In the Mood for Love""","Presented here is a 2001 interview with director Wong Kar Wai, conducted by film critic Michel Ciment and filmmaker Hubert Niogret.",0.6,/4wPGlsFPUJ8r50cYygjEr7KPz3y.jpg,,"Wong Kar-wai on ""In the Mood for Love""",False,0.0,0,In the Mood for Love
8,False,,"[10749, 28]",1171501,cn,風花雪月,Hong Kong movie,2.473,/rwHdS5YgdjLdxq59WF9wJfIIDQV.jpg,2001-10-01,Moods of Love,False,0.0,0,In the Mood for Love
9,False,,[],1152707,en,"Tony Rayns on the Music of ""In the Mood for Love""","Made in 2012 by the Criterion Collection, this program featuring critic Tony Rayns addresses the unique musical collage of In the Mood for Love's soundtrack.",0.6,,,"Tony Rayns on the Music of ""In the Mood for Love""",False,0.0,0,In the Mood for Love
10,False,/zIoxBSm31WjusKXJXFBvqH3b4WH.jpg,"[10749, 35]",376252,ko,그날의 분위기,"A train ride brings two unlikely souls together as Bae, a committed partner of a serious 10-year relationship, sees her world turned upside down by the charming playboy Kim. Seated together on a business trip from Seoul to Busan, the two find themselves on an adventure to remember.",12.889,/rTyfSJ7YkF74Zy5spSywVNRzLa8.jpg,2016-01-14,Mood of the Day,False,7.2,42,In the Mood for Love
0,False,/y1giivdsGLyo1LCvlsL6mLKyTZ7.jpg,"[53, 18, 9648]",1018,en,Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",41.722,/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,2001-06-06,Mulholland Drive,False,7.8,5863,Mulholland Drive
1,False,,[99],576701,de,Sunset over Hollywood,"Hidden away at the end of Mulholland Drive, just north of Los Angeles, lies the Motion Picture & Television Fund. Its residents were once the backbone of American showbiz. The Fund gives them a home and new meaning in their old age. Still going strong in their own studio, they produce short films and pursue other creative projects. This documentary follows one such project from the first brainstorming session all the way to the premiere, revealing enduring dreams and hopes beyond the limelight — and lessons in life and love.",1.323,/zTZAYQxrbZoyRYiIVAAjckm6LL3.jpg,2019-05-23,Sunset over Mulholland Drive,False,5.3,3,Mulholland Drive
2,False,,[99],205803,en,The Making of ‘Mulholland Drive’,A short documentary about the making of David Lynch's film Mulholland Drive.,2.772,/8BvGPYPFFRgOSkahSenbvtJDNNy.jpg,2004-04-05,The Making of ‘Mulholland Drive’,False,6.8,13,Mulholland Drive
3,False,/53sevJFXsWgaEiGDk7EZ7lNBFkb.jpg,[99],770956,en,Patrick Kielty's Mulholland Drive,"The story of how an Irishman from Belfast, William Mulholland built the Los Angeles aqueduct to supply the city with water. Mulholland was self taught but managed to finish the aqueduct on time and on budget. However today, as Kielty discovers, water is still a sensitive topic, some people have it, others do not. It is a story of water, power and money.",0.729,/1qMcFwoE3VobuWpKgUbfgKW526D.jpg,2016-01-26,Patrick Kielty's Mulholland Drive,False,0.0,0,Mulholland Drive
4,False,,[99],1106624,de,Mulholland Drive - Ein Hollywood-Mythos,Documentary about the Mulholland Drive in Los Angeles.,1.092,,2010-02-20,Mulholland Drive - Ein Hollywood-Mythos,False,0.0,0,Mulholland Drive
5,False,,[99],669330,fr,Retour à Mulholland Drive,,0.6,/205WQbfskjaBhF6Or19KExqBXJu.jpg,2003-06-17,Retour à Mulholland Drive,False,8.0,1,Mulholland Drive
6,False,/tLoCvK6BHqeGOQ5MzfH8HVFKYoE.jpg,"[53, 10770, 18, 9648]",185789,en,Mulholland Dr.,"Initially, ""Mulholland Dr."" was to mark David Lynch's return to television. It is a retooling of a script originally shot as a 94-minute pilot for a TV series (co-written with TV screenwriter Joyce Eliason) for the channel ABC, which had approved the script, but chose not even to air the pilot once it was done in 1999, despite Lynch's labours to cut the project to their liking. It was left in limbo until 18 month later French company Studio Canal Plus (also producer of 'The Straight Story') agreed to pay ABC $7 million for the pilot, and budget a few million more to turn the pilot into a two-hour, 27-minute movie. The cost of the film doubled to $14 million as sets had to be reconstructed and actors recalled.",8.751,/oGXtT5UW8lDWt8uxlww2zw9GmBs.jpg,1999-01-01,Mulholland Dr.,False,7.829,452,Mulholland Drive
0,False,/8LRcCJjbQI552BMCuGgYqph8USS.jpg,[18],7345,en,There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",34.644,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,2007-12-26,There Will Be Blood,False,8.084,6233,There Will Be Blood
1,False,,[],754312,de,Es Wird Kein Blut Geben,Tom needs help. His friend tries to help. Tom is scared of blood. Things don’t go as planned.,0.6,,2020-10-08,There Will Be No Blood,False,0.0,0,There Will Be Blood
2,False,/iBZGffGHfYEiww0tPUWKkuwD8w8.jpg,[],805022,fa,Chaharshanbe Khoon Be Pa Mishavad,Aras with the help of his sister and some friends takes hostages in an exchange shop demanding for the release of his friend who is in prison and is about to be executed.,0.6,/9wU9JCyF4NXo2Uy1z7LYvaDPLHW.jpg,2015-11-11,There Will Be Blood on Wednesday,False,0.0,0,There Will Be Blood
3,False,/Abv3ZtGV2NXxPimArb3LDLg2bDH.jpg,"[53, 16, 28, 35, 27, 9648]",75624,ja,劇場版 NARUTO -ナルト- ブラッド・プリズン,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",40.093,/4WT7zYFpe0fsbg6TitppiHddWAh.jpg,2011-07-30,Naruto Shippuden the Movie: Blood Prison,False,7.301,539,There Will Be Blood
4,False,/u2K4CWixku4K2Zb8ccWmxWNKBN9.jpg,"[16, 14, 27, 28]",15999,ja,吸血鬼ハンターD ブラッドラスト,"D has been hired to track down Meier Link, a notoriously powerful vampire who has abducted a woman, Charlotte Elbourne. D's orders are strict - find Charlotte, at any cost. For the first time, D faces serious competition. The Markus Brothers, a family of Vampire Hunters, were hired for the same bounty. D Must intercept Meier and conquer hostile forces on all sides in a deadly race against time.",43.45,/4hJUWgdmoFsNpzyTN6QjoZcaivO.jpg,2000-08-25,Vampire Hunter D: Bloodlust,False,7.535,580,There Will Be Blood
5,False,/8gc00CJuQKNToUJq1cAmTtb4zmc.jpg,"[28, 16, 12, 35, 14, 878]",39144,ja,ドラゴンボール 神龍の伝説,The great King Gurumes is searching for the Dragon Balls in order to put a stop to his endless hunger. A young girl named Pansy who lives in the nearby village has had enough of the treachery and decides to seek Muten Rōshi for assistance. Can our heroes save the village and put a stop to the Gurumes Army?,41.961,/dZCWRFJnwyxYOhzAhf7Xyru4moB.jpg,1986-12-20,Dragon Ball: Curse of the Blood Rubies,False,6.807,293,There Will Be Blood
6,False,/7bl2GAgGUSZcckQaEeIqPIgGz0p.jpg,"[27, 878]",36075,ja,女虐 悪魔の悦び,"A scientist taints his mother's scientific experiment with his own drug that transforms pain into a pleasurable experience. Unfortunately for the three women involved in the experiment, the drug works a little bit too well.",7.538,/yCLPovhiuoiKoN3JLUAlKQ7D5SL.jpg,1996-02-20,Splatter: Naked Blood,False,5.8,62,There Will Be Blood
7,False,/qfTGzbtqTBhz1krD0Zh5bCg5xlf.jpg,"[16, 28, 14]",242546,ja,ベヨネッタ ブラッディフェイト,"Bayonetta is an ancient witch who awakens from a five hundred-year slumber with no memory of her life. Armed with a gun in each limb, she embarks on a journey to rediscover her past, defeating all bloodthirsty angels that stand in her way.",18.382,/dfg7dqm0YX16D6QYDKDdh3Qi930.jpg,2013-11-23,Bayonetta: Bloody Fate,False,6.549,82,There Will Be Blood
8,False,/k457q5N1coXM6zfPAkNxsZu4KFD.jpg,"[16, 28, 80, 18]",456611,ja,LUPIN THE IIIRD 血煙の石川五ェ門,"A yakuza boss hires Goemon Ishikawa, a modern day samurai, to protect him aboard his cruise ship casino. Everything goes sideways when the famous thief, Lupin the Third, tries to rob the vessel. Lupin's being hunted by a powerful and mysterious man: the so called “Ghost of Bermuda.” With Goemon's employer dead in the ensuing chaos, his honor is at stake, and the only way to preserve it is with blood. But this opponent is like no other, and to make things right, Goemon may need to sharpen not only his sword, but himself as well!",14.035,/AeF2oitbvWfsuyz2FUs9Ohlqx6N.jpg,2017-02-04,Lupin the Third: Goemon's Blood Spray,False,7.865,144,There Will Be Blood
9,False,,[18],1177851,en,Bloedtranen,"During a persecution against 'The Way' around 34 A.D. a Jerusalem citizen called Sem wants to leave his past behind and moves to another country, only to find out that an important piece of that past literally awaits him there.",0.806,/qAhm3xDArE35TcPU0yD0ptx9wLZ.jpg,2023-10-27,Blood Tears,False,0.0,0,There Will Be Blood
10,False,/3gngLp4zgjYLOUKC5MBHfszdvz9.jpg,[27],36073,ja,ギニーピッグ2 血肉の華,"Late at night, a woman is kidnapped by an unknown assailant and taken back to his blood-spattered dungeon, where he turns her into a ""flower of blood and flesh"" through a series of dismemberment and evisceration.",16.254,/hV4KI3AyknlfGIaVyMq7p66Tc3X.jpg,1985-10-07,Guinea Pig Part 2: Flower of Flesh and Blood,False,4.604,106,There Will Be Blood
11,False,/3v15NxpgT88gG6bZIR4RAZNGIAx.jpg,[18],419446,es,Sangre en la boca,"Ramón Alvia is a professional boxer who, although he has won several international championships, is old and is at the end of his career. He resists. In the gym, Ramon discovers among the young boxers Deborah, a beautiful girl.",19.816,/tMtWyyyJRHlh32d0VnXSIFImpsr.jpg,2016-08-25,"Tiger, Blood in the Mouth",False,4.517,29,There Will Be Blood
12,False,/53b3gXhCDTw9v2JPEjSXyxazosr.jpg,"[28, 27, 878, 16]",171823,ja,Blood-C The Last Dark,"Tokyo, Winter. Despite the use of the Youth Ordinance Bill to enforce curfews for minors and regulate the use of the Internet, young people continue to fight for their own freedom through underground methods. One such group calls themselves Surat. They have decided to take on Fumito Nanahara, a man who has great influence on the political world, and basically controls Tokyo with an iron fist. While using the Internet as a weapon to discover more information about Fumito, they learn about ""Tower"", the secret organization behind Fumito which engages in human experimentation.",16.109,/nGGjseakR3l4SoevlvNWvVjmf3A.jpg,2012-06-02,Blood-C: The Last Dark,False,7.3,125,There Will Be Blood
13,False,/aliPMgGiHu8hnnNS5thAjExr3j1.jpg,"[18, 36]",3777,ja,蜘蛛巣城,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",22.383,/zaZFMNxJST0TtPd68yF7fNt1he8.jpg,1957-01-15,Throne of Blood,False,7.932,763,There Will Be Blood
14,False,/6eW84lUWSJ09OuWTCNOmTY1i2Cm.jpg,"[27, 9648, 53]",28055,it,Sei donne per l'assassino,"Isabella, a young model, is murdered by a mysterious masked figure at a fashion house in Rome. When her diary, which details the house employees many vices, disappears, the masked killer begins killing off all the models in and around the house to find it.",11.625,/siEti5iNAbN91Q3AR2XRPfJ1E6O.jpg,1964-04-10,Blood and Black Lace,False,7.339,373,There Will Be Blood
15,False,/mnq5O3MyfHIJvunmE0fRhMrQQ89.jpg,"[28, 53]",659067,fr,La Terre et le Sang,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,11.669,/23S0NEXXOMhhXhF566Pw5sx7hnZ.jpg,2020-04-17,Earth and Blood,False,6.135,282,There Will Be Blood
16,False,/xWoQPSqJxB8P6Non8kyMSvtna9Y.jpg,"[28, 16, 878]",79516,ja,鉄拳 ブラッド・ベンジェンス,"Set in the rich Tekken universe, Tekken: Blood Vengeance 3D follows Xiaoyu Ling, seasoned martial artist and high school student, tasked by the G Corporation to infiltrate an international school in Kyoto to gather information on the mysterious student Shin Kamiya. Before she can make any progress in the investigation, Shin is kidnapped by an unknown assailant. Digging deeper into Shin’s background in an attempt to rescue him, Xiaoyu learns about the frightening underbelly of the Mishima Zaibatsu. Jin Kazama, Kazuya Mishima… and the late Heihachi Mishima’s conspiracy that’s stained with blood.",22.085,/nYfa9yK6LlbE9K4U7Ved815RgMM.jpg,2011-07-26,TEKKEN: Blood Vengeance,False,6.803,201,There Will Be Blood
17,False,/kB2DXsW4QZP33Skch3pE0ZCPThj.jpg,"[28, 18, 10749]",278540,ja,赤×ピンク,"Four girls take part in illegal underground fighting event ""Girl's Blood"" held at an abandoned school building in Roppongi every night. The girls have their own stories and quirks from their private lives. Satsuki (Yuria Haga) suffers from a gender identity disorder, Chinatsu (Asami Tada) ran away from an abusive husband, Miko (Ayame Misaki) is a S&amp;M queen and Mayu (Rina Koike) has a Lolita face.",12.887,/9Oc7cqHsPLA1FvNLmF6jUAz38tg.jpg,2014-02-22,Girl's Blood,False,5.9,18,There Will Be Blood
18,False,/6TJETGaNV8HWbxz1M29AIjaquFc.jpg,"[28, 12]",56268,fr,Le Capitan,"Le capitan is a 1960 French-Italian swashbuckler film directed by André Hunebelle and starring Jean Marais, Bourvil, Elsa Martinelli and Lise Delamare. It is based on a novel by Michel Zévaco.",5.494,/rd4wdM2AufLCEFAWmuFcTkBiKEl.jpg,1960-10-05,Captain Blood,False,6.664,61,There Will Be Blood
